UF,MUNICIPIO_DESCRICAO,Demais,EPP,ME,MEI
BA,Cairu,61,98,921,946
BA,Caldeirão Grande,6,12,157,168
BA,Camacan,55,42,545,824
BA,Camaçari,1640,807,7930,16913
BA,Camamu,65,75,605,1014
BA,Campo Alegre de Lourdes,28,90,429,414
BA,Campo Formoso,151,214,1258,1509
BA,Canápolis,3,5,112,110
BA,Canarana,22,45,370,289
BA,Canavieiras,57,37,685,1210
BA,Candeal,3,3,70,142
BA,Candeias,389,194,2018,2387
BA,Candiba,15,30,169,285
BA,Cândido Sales,26,41,328,889
BA,Cansanção,33,67,513,524
BA,Canudos,28,37,210,220
BA,Capela do Alto Alegre,10,17,161,284
BA,Capim Grosso,102,154,1120,1591
BA,Caraíbas,8,11,89,195
BA,Caravelas,37,25,255,564
BA,Cardeal da Silva,7,3,142,137
BA,Carinhanha,21,19,330,532
BA,Casa Nova,125,126,800,999
BA,Castro Alves,54,66,365,1384
BA,Catolândia,7,7,73,19
BA,Catu,258,149,1123,1565
BA,Caturama,11,10,83,95
BA,Central,27,12,180,175
BA,Chorrochó,5,23,104,108
BA,Cícero Dantas,47,67,578,775
BA,Cipó,18,31,291,428
BA,Coaraci,36,15,330,672
BA,Cocos,74,20,319,305
BA,Conceição da Feira,35,47,425,540
BA,Conceição do Almeida,21,33,217,477
BA,Conceição do Coité,120,195,1380,2845
BA,Conceição do Jacuípe,406,249,2096,1686
BA,Conde,32,26,409,591
BA,Condeúba,19,78,203,603
BA,Contendas do Sincorá,5,15,59,98
BA,Coração de Maria,49,76,432,654
BA,Cordeiros,2,17,107,200
BA,Coribe,17,14,240,148
BA,Coronel João Sá,7,22,166,200
BA,Correntina,255,90,772,812
BA,Cotegipe,24,13,182,140
BA,Cravolândia,2,5,50,130
BA,Crisópolis,13,27,204,231
BA,Cristópolis,20,19,163,192
BA,Cruz das Almas,202,278,1860,3248
BA,Curaçá,40,107,415,455
BA,Dário Meira,8,11,115,210
BA,Dias d´Ávila,244,190,1919,3014
BA,Dom Basílio,8,26,203,270
BA,Dom Macedo Costa,2,6,57,119
BA,Elísio Medrado,10,6,114,152
BA,Encruzilhada,32,30,240,370
BA,Entre Rios,115,55,996,1563
BA,Érico Cardoso,9,4,96,148
BA,Esplanada,86,43,594,819
BA,Euclides da Cunha,78,230,1031,1081
BA,Eunápolis,504,422,4068,5073
BA,Fátima,12,33,200,277
BA,Feira da Mata,4,2,71,65
BA,Feira de Santana,3482,3132,23706,36151
BA,Filadélfia,9,37,385,297
BA,Firmino Alves,7,5,77,98
BA,Floresta Azul,14,7,109,220
BA,Formosa do Rio Preto,132,43,627,525
BA,Gandu,77,64,949,1046
BA,Gavião,2,6,45,68
BA,Gentio do Ouro,71,9,123,160
BA,Glória,19,17,127,164
BA,Gongogi,4,5,67,142
BA,Governador Mangabeira,35,43,405,837
BA,Guajeru,3,6,78,85
BA,Guanambi,475,496,3511,4215
BA,Guaratinga,30,22,207,373
BA,Heliópolis,10,26,141,167
BA,Iaçu,35,35,407,596
BA,Ibiassucê,14,23,231,191
BA,Ibicaraí,32,34,555,692
BA,Ibicoara,39,43,634,467
BA,Ibicuí,14,28,223,297
BA,Ibipeba,29,14,184,155
BA,Ibipitanga,11,22,256,236
BA,Ibiquera,4,4,38,39
BA,Ibirapitanga,21,20,206,379
BA,Ibirapuã,26,25,122,290
BA,Ibirataia,12,24,258,443
BA,Ibitiara,19,29,179,275
BA,Ibititá,14,13,172,155
BA,Ibotirama,80,74,883,707
BA,Ichu,5,13,81,194
BA,Igaporã,35,41,209,327
BA,Igrapiúna,18,6,104,218
BA,Iguaí,24,35,325,482
BA,Ilhéus,781,466,5069,10371
BA,Inhambupe,68,53,584,787
BA,Ipecaetá,5,4,66,98
BA,Ipiaú,131,143,1406,1441
BA,Ipirá,122,92,1004,1780
BA,Ipupiara,23,10,235,189
BA,Irajuba,5,6,57,114
BA,Iramaia,18,18,113,145
BA,Iraquara,28,35,368,443
BA,Irará,41,60,429,696
BA,Irecê,379,341,3388,2201
BA,Itabela,70,81,634,832
BA,Itaberaba,204,155,1729,2314
BA,Itabuna,1053,755,7701,11444
BA,Itacaré,67,49,987,1439
BA,Itaeté,17,11,164,253
BA,Itagi,12,28,117,212
BA,Itagibá,36,27,216,472
BA,Itagimirim,35,12,133,188
BA,Itaguaçu da Bahia,435,14,135,91
BA,Itaju do Colônia,14,13,68,121
BA,Itajuípe,32,25,267,792
BA,Itamaraju,145,247,1556,2320
BA,Itamari,8,5,79,153
BA,Itambé,28,29,281,695
BA,Itanagra,16,14,128,173
BA,Itanhém,22,40,312,646
BA,Itaparica,30,10,235,686
BA,Itapé,5,28,175,286
BA,Itapebi,24,7,113,196
BA,Itapetinga,173,131,1902,2362
BA,Itapicuru,21,73,255,237
BA,Itapitanga,4,3,77,248
BA,Itaquara,4,6,61,121
BA,Itarantim,39,29,322,543
BA,Itatim,42,67,383,440
BA,Itiruçu,16,20,167,351
BA,Itiúba,19,80,243,672
BA,Itororó,26,23,466,558
BA,Ituaçu,17,22,372,506
BA,Ituberá,59,43,524,927
BA,Iuiú,8,17,128,121
BA,Jaborandi,96,11,197,107
BA,Jacaraci,6,17,158,225
BA,Jacobina,267,277,2522,3912
BA,Jaguaquara,114,131,1134,1898
BA,Jaguarari,79,97,549,984
BA,Jaguaripe,17,12,126,314
BA,Jandaíra,22,21,177,138
BA,Jequié,537,488,4220,6480
BA,Jeremoabo,45,36,487,710
BA,Jiquiriça,15,26,158,409
BA,Jitaúna,18,27,193,237
BA,João Dourado,46,29,436,339
BA,Juazeiro,972,1091,5431,8090
BA,Jucuruçu,7,4,90,132
BA,Jussara,9,16,236,122
BA,Jussari,10,4,84,222
BA,Jussiape,3,22,90,160
BA,Lafaiete Coutinho,3,5,57,81
BA,Lagoa Real,13,10,154,157
BA,Laje,18,28,209,421
BA,Lajedão,8,14,60,99
BA,Lajedinho,10,6,35,57
BA,Lajedo do Tabocal,5,10,85,156
BA,Lamarão,6,5,63,76
BA,Lapão,30,37,360,327
BA,Lauro de Freitas,2026,2068,13534,16308
BA,Lençóis,32,48,317,599
BA,Licínio de Almeida,38,21,286,416
BA,Livramento de Nossa Senhora,82,138,1274,1844
BA,Luís Eduardo Magalhães,1285,1021,6689,6775
BA,Macajuba,5,4,135,187
BA,Macarani,14,29,225,366
BA,Macaúbas,44,82,761,918
BA,Macururé,10,18,73,69
BA,Madre de Deus,28,34,547,711
BA,Maetinga,5,12,81,179
BA,Maiquinique,16,8,177,206
BA,Mairi,14,17,242,334
BA,Malhada,14,10,135,224
BA,Malhada de Pedras,6,18,140,219
BA,Manoel Vitorino,21,16,150,251
BA,Mansidão,14,6,115,98
BA,Maracás,38,114,672,647
BA,Maragogipe,41,64,311,650
BA,Maraú,104,82,699,1044
BA,Marcionílio Souza,13,15,119,151
BA,Mascote,12,9,167,250
BA,Mata de São João,256,96,1325,2602
BA,Matina,4,11,88,115
BA,Medeiros Neto,39,60,413,871
BA,Miguel Calmon,25,30,377,944
BA,Milagres,11,28,189,281
BA,Mirangaba,24,8,162,302
BA,Mirante,6,8,75,145
BA,Monte Santo,36,93,470,537
BA,Morpará,8,5,89,91
BA,Morro do Chapéu,130,64,608,1097
BA,Mortugaba,12,23,258,283
BA,Mucugê,36,48,310,332
BA,Mucuri,163,121,1004,1591
BA,Mulungu do Morro,20,16,110,157
BA,Mundo Novo,22,15,211,447
BA,Muniz Ferreira,5,11,67,126
BA,Muquém de São Francisco,20,11,120,86
BA,Muritiba,70,75,506,804
BA,Mutuípe,36,40,283,586
BA,Nazaré,55,43,468,1230
BA,Nilo Peçanha,8,9,143,196
BA,Nordestina,13,18,157,153
BA,Nova Canaã,9,16,171,212
BA,Nova Fátima,6,25,185,280
BA,Nova Ibiá,4,3,64,106
BA,Nova Itarana,5,14,92,115
BA,Nova Redenção,8,3,88,83
BA,Nova Soure,37,54,261,418
BA,Nova Viçosa,115,91,793,1660
BA,Novo Horizonte,22,22,138,172
BA,Novo Triunfo,3,4,132,90
BA,Olindina,24,52,242,364
BA,Oliveira dos Brejinhos,63,23,459,492
BA,Ouriçangas,14,5,60,111
BA,Ourolândia,41,56,328,559
BA,Palmas de Monte Alto,20,26,277,439
BA,Palmeiras,14,33,212,504
BA,Paramirim,83,108,815,635
BA,Paratinga,39,19,395,244
BA,Paripiranga,43,64,347,338
BA,Pau Brasil,11,6,121,210
BA,Paulo Afonso,326,403,2535,3904
BA,Pé de Serra,8,13,199,429
BA,Pedrão,4,9,61,75
BA,Pedro Alexandre,6,5,82,54
BA,Piatã,14,39,282,376
BA,Pilão Arcado,11,62,433,250
BA,Pindaí,55,22,171,195
BA,Pindobaçu,22,46,274,400
BA,Pintadas,14,12,158,293
BA,Piraí do Norte,3,6,86,150
BA,Piripá,7,23,110,580
BA,Piritiba,21,24,251,454
BA,Planaltino,8,11,98,94
BA,Planalto,33,31,331,659
BA,Poções,79,93,865,1746
BA,Pojuca,139,82,746,1482
BA,Ponto Novo,13,21,211,335
BA,Porto Seguro,841,729,7644,10567
BA,Potiraguá,16,16,148,237
BA,Prado,60,100,696,1419
BA,Presidente Dutra,16,15,157,131
BA,Presidente Jânio Quadros,9,20,107,269
BA,Presidente Tancredo Neves,25,44,519,568
BA,Queimadas,27,42,444,405
BA,Quijingue,14,27,190,265
BA,Quixabeira,9,13,89,178
BA,Rafael Jambeiro,24,23,198,229
BA,Remanso,52,122,675,1173
BA,Retirolândia,14,20,258,411
BA,Riachão das Neves,54,32,296,213
BA,Riachão do Jacuípe,64,82,780,1370
BA,Riacho de Santana,19,36,456,387
BA,Ribeira do Amparo,8,6,77,116
BA,Ribeira do Pombal,115,129,1231,1527
BA,Ribeirão do Largo,9,12,71,118
BA,Rio de Contas,23,24,239,498
BA,Rio do Antônio,22,14,197,221
BA,Rio do Pires,9,13,213,150
BA,Rio Real,45,115,556,803
BA,Rodelas,14,9,118,148
BA,Ruy Barbosa,49,32,507,680
BA,Salinas da Margarida,12,19,207,272
BA,Salvador,16302,10611,83557,183625
BA,Santa Bárbara,27,30,310,380
BA,Santa Brígida,13,6,106,223
BA,Santa Cruz Cabrália,112,59,916,1399
BA,Santa Cruz da Vitória,5,3,69,131
BA,Santa Inês,11,10,82,335
BA,Santa Luzia,9,8,112,226
BA,Santa Maria da Vitória,85,74,1021,899
BA,Santa Rita de Cássia,61,19,416,442
BA,Santa Teresinha,25,28,84,197
BA,Santaluz,59,83,831,776
BA,Santana,34,16,408,533
BA,Santanópolis,7,7,101,97
BA,Santo Amaro,100,139,865,1599
BA,Santo Antônio de Jesus,423,541,3502,6082
BA,Santo Estêvão,89,68,1101,1264
BA,São Desidério,216,83,760,662
BA,São Domingos,18,20,218,217
BA,São Felipe,31,48,484,1010
BA,São Félix,44,6,94,257
BA,São Félix do Coribe,32,40,404,468
BA,São Francisco do Conde,114,38,428,820
BA,São Gabriel,11,19,315,163
BA,São Gonçalo dos Campos,125,110,866,1288
BA,São José da Vitória,3,7,51,104
BA,São José do Jacuípe,16,21,119,162
BA,São Miguel das Matas,12,11,95,249
BA,São Sebastião do Passé,98,108,590,1146
BA,Sapeaçu,33,37,304,524
BA,Sátiro Dias,17,22,214,222
BA,Saubara,13,46,219,282
BA,Saúde,9,16,135,335
BA,Seabra,115,136,1164,1256
BA,Sebastião Laranjeiras,6,16,112,156
BA,Senhor do Bonfim,193,350,2228,2841
BA,Sento Sé,146,59,319,308
BA,Serra do Ramalho,44,25,411,530
BA,Serra Dourada,13,14,238,296
BA,Serra Preta,8,18,147,333
BA,Serrinha,183,295,2030,2598
BA,Serrolândia,9,41,226,432
BA,Simões Filho,1050,580,3948,6200
BA,Sítio do Mato,10,10,107,75
BA,Sítio do Quinto,11,15,138,157
BA,Sobradinho,38,44,353,654
BA,Souto Soares,15,18,142,275
BA,Tabocas do Brejo Velho,22,17,175,188
BA,Tanhaçu,36,45,492,494
BA,Tanque Novo,40,85,451,364
BA,Tanquinho,12,7,158,207
BA,Taperoá,16,29,218,402
BA,Tapiramutá,19,13,172,195
BA,Teixeira de Freitas,613,776,4638,9074
BA,Teodoro Sampaio,15,2,79,284
BA,Teofilândia,21,19,242,313
BA,Teolândia,9,8,180,218
BA,Terra Nova,12,5,156,323
BA,Tremedal,11,26,145,298
BA,Tucano,73,95,769,1057
BA,Uauá,29,70,365,663
BA,Ubaíra,25,24,266,499
BA,Ubaitaba,44,58,442,665
BA,Ubatã,32,28,308,501
BA,Uibaí,16,8,153,207
BA,Umburanas,26,20,172,187
BA,Una,52,31,354,689
BA,Urandi,45,18,291,448
BA,Uruçuca,47,48,450,1131
BA,Utinga,40,32,351,461
BA,Valença,283,297,2071,3684
BA,Valente,33,61,786,886
BA,Várzea da Roça,10,43,133,239
BA,Várzea do Poço,11,10,113,242
BA,Várzea Nova,34,23,154,355
BA,Varzedo,9,14,114,214
BA,Vera Cruz,69,61,887,1580
BA,Vereda,9,5,42,173
BA,Vitória da Conquista,1905,1887,13046,23596
BA,Wagner,27,19,133,199
BA,Wanderley,8,20,203,161
BA,Wenceslau Guimarães,17,10,247,302
BA,Xique-Xique,85,52,697,1177
CE,Totais,37525,21930,213939,334958
CE,Abaiara,13,2,83,128
CE,Acarape,26,12,164,421
CE,Acaraú,159,63,902,1144
CE,Acopiara,69,26,590,885
CE,Aiuaba,16,6,141,239
CE,Alcântaras,7,7,139,339
CE,Altaneira,5,4,78,106
CE,Alto Santo,23,25,283,259
CE,Amontada,77,36,513,769
CE,Antonina do Norte,11,4,97,109
CE,Apuiarés,17,7,211,326
CE,Aquiraz,578,220,1707,3038
CE,Aracati,294,129,1778,3110
CE,Aracoiaba,32,18,348,624
CE,Ararendá,9,21,132,175
CE,Araripe,17,10,222,269
CE,Aratuba,6,3,115,189
CE,Arneiroz,7,3,72,183
CE,Assaré,18,17,287,354
CE,Aurora,21,27,283,429
CE,Baixio,3,7,67,81
CE,Banabuiú,32,13,188,392
CE,Barbalha,202,104,1303,1780
CE,Barreira,25,21,389,880
CE,Barro,25,19,290,346
CE,Barroquinha,17,4,208,370
CE,Baturité,68,54,676,1147
CE,Beberibe,148,88,882,1661
CE,Bela Cruz,26,17,397,864
CE,Boa Viagem,56,67,601,1186
CE,Brejo Santo,110,96,907,879
CE,Camocim,128,62,1118,2344
CE,Campos Sales,42,21,406,676
CE,Canindé,141,62,1417,1573
CE,Capistrano,13,11,151,346
CE,Caridade,32,11,205,235
CE,Cariré,23,6,186,350
CE,Caririaçu,19,9,231,436
CE,Cariús,15,16,185,301
CE,Carnaubal,18,9,203,460
CE,Cascavel,165,126,1418,2251
CE,Catarina,9,3,142,175
CE,Catunda,8,3,176,93
CE,Caucaia,1073,624,6426,13520
CE,Cedro,27,18,306,342
CE,Chaval,14,4,140,306
CE,Choró,12,8,77,121
CE,Chorozinho,35,20,305,517
CE,Coreaú,25,7,246,505
CE,Crateús,155,100,1577,2559
CE,Crato,336,241,2884,4308
CE,Croatá,10,17,180,379
CE,Cruz,92,44,858,1338
CE,Deputado Irapuan Pinheiro,8,7,83,139
CE,Ererê,3,3,60,97
CE,Eusébio,1393,976,4406,3504
CE,Farias Brito,12,6,225,290
CE,Forquilha,38,15,348,575
CE,Fortaleza,21242,12370,98695,151282
CE,Fortim,102,31,384,641
CE,Frecheirinha,16,26,241,387
CE,General Sampaio,9,8,140,270
CE,Graça,6,5,137,380
CE,Granja,59,31,437,1007
CE,Granjeiro,6,1,33,62
CE,Groaíras,10,6,290,374
CE,Guaiúba,89,21,217,527
CE,Guaraciaba do Norte,56,49,759,1166
CE,Guaramiranga,48,16,161,228
CE,Hidrolândia,17,23,234,521
CE,Horizonte,350,178,1271,2899
CE,Ibaretama,15,12,112,152
CE,Ibiapina,37,21,327,817
CE,Ibicuitinga,11,7,108,261
CE,Icapuí,78,16,507,714
CE,Icó,102,71,835,1183
CE,Iguatu,310,214,2893,3024
CE,Independência,32,21,403,390
CE,Ipaporanga,5,5,109,168
CE,Ipaumirim,18,17,181,169
CE,Ipu,47,57,743,1102
CE,Ipueiras,14,36,426,970
CE,Iracema,18,28,267,360
CE,Irauçuba,20,20,274,496
CE,Itaiçaba,9,17,119,268
CE,Itaitinga,258,153,1143,2545
CE,Itapagé,63,45,737,1343
CE,Itapipoca,199,109,1783,3976
CE,Itapiúna,11,11,161,328
