UF,MUNICIPIO_DESCRICAO,Demais,EPP,ME,MEI
MA,Barra do Corda,101,160,1919,1351
MA,Barreirinhas,89,160,1308,1205
MA,Bela Vista do Maranhão,9,15,130,74
MA,Belágua,2,8,36,60
MA,Benedito Leite,10,11,46,55
MA,Bequimão,4,15,162,234
MA,Bernardo do Mearim,5,19,47,49
MA,Boa Vista do Gurupi,4,11,67,83
MA,Bom Jardim,36,22,257,218
MA,Bom Jesus das Selvas,33,28,323,209
MA,Bom Lugar,5,8,78,92
MA,Brejo,39,30,460,286
MA,Brejo de Areia,1,4,52,62
MA,Buriti,20,43,161,136
MA,Buriti Bravo,16,57,272,157
MA,Buriticupu,72,137,889,582
MA,Buritirana,8,7,85,122
MA,Cachoeira Grande,2,5,34,51
MA,Cajapió,7,3,34,56
MA,Cajari,4,9,72,65
MA,Campestre do Maranhão,13,20,171,213
MA,Cândido Mendes,16,31,146,167
MA,Cantanhede,21,26,168,183
MA,Capinzal do Norte,6,21,115,168
MA,Carolina,56,56,496,767
MA,Carutapera,18,35,267,321
MA,Caxias,321,436,2808,2852
MA,Cedral,4,11,75,76
MA,Central do Maranhão,3,12,43,71
MA,Centro do Guilherme,3,14,82,101
MA,Centro Novo do Maranhão,18,27,140,164
MA,Chapadinha,110,248,1358,962
MA,Cidelândia,23,15,180,172
MA,Codó,169,193,1525,1232
MA,Coelho Neto,72,45,462,515
MA,Colinas,46,188,600,346
MA,Conceição do Lago-Açu,3,2,57,108
MA,Coroatá,58,208,600,706
MA,Cururupu,22,30,369,325
MA,Davinópolis,43,36,143,269
MA,Dom Pedro,28,45,527,426
MA,Duque Bacelar,5,15,78,77
MA,Esperantinópolis,10,56,218,161
MA,Estreito,92,112,909,834
MA,Feira Nova do Maranhão,3,17,54,57
MA,Fernando Falcão,4,4,47,63
MA,Formosa da Serra Negra,13,27,245,95
MA,Fortaleza dos Nogueiras,15,111,230,220
MA,Fortuna,14,24,161,143
MA,Godofredo Viana,21,28,131,146
MA,Gonçalves Dias,11,34,191,86
MA,Governador Archer,10,10,98,59
MA,Governador Edison Lobão,20,25,310,442
MA,Governador Eugênio Barros,7,18,100,114
MA,Governador Luiz Rocha,3,3,74,54
MA,Governador Newton Bello,4,7,59,69
MA,Governador Nunes Freire,21,42,350,281
MA,Graça Aranha,7,11,62,60
MA,Grajaú,130,118,1407,889
MA,Guimarães,2,4,96,117
MA,Humberto de Campos,19,16,184,197
MA,Icatu,10,8,100,102
MA,Igarapé do Meio,14,16,84,87
MA,Igarapé Grande,9,27,149,111
MA,Imperatriz,1477,1635,12079,13515
MA,Itaipava do Grajaú,5,10,93,75
MA,Itapecuru Mirim,115,87,848,804
MA,Itinga do Maranhão,57,162,390,410
MA,Jatobá,4,15,24,20
MA,Jenipapo dos Vieiras,6,8,57,80
MA,João Lisboa,27,56,330,553
MA,Joselândia,7,38,128,141
MA,Junco do Maranhão,3,6,34,62
MA,Lago da Pedra,43,72,886,669
MA,Lago do Junco,8,5,78,62
MA,Lago dos Rodrigues,5,17,134,95
MA,Lago Verde,10,9,75,99
MA,Lagoa do Mato,4,14,91,112
MA,Lagoa Grande do Maranhão,3,7,120,77
MA,Lajeado Novo,7,9,96,104
MA,Lima Campos,10,66,143,178
MA,Loreto,15,31,140,129
MA,Luís Domingues,13,10,81,87
MA,Magalhães de Almeida,9,18,174,199
MA,Maracaçumé,23,48,342,310
MA,Marajá do Sena,2,8,30,29
MA,Maranhãozinho,4,15,72,99
MA,Mata Roma,11,24,174,112
MA,Matinha,11,24,203,165
MA,Matões,51,38,203,230
MA,Matões do Norte,5,21,57,59
MA,Milagres do Maranhão,3,3,26,21
MA,Mirador,13,56,235,131
MA,Miranda do Norte,33,39,308,232
MA,Mirinzal,15,23,201,201
MA,Monção,10,24,151,128
MA,Montes Altos,5,9,64,65
MA,Morros,17,45,184,176
MA,Nina Rodrigues,10,9,67,77
MA,Nova Colinas,4,25,23,48
MA,Nova Iorque,3,13,27,22
MA,Nova Olinda do Maranhão,10,13,150,114
MA,Olho d´Água das Cunhãs,11,16,182,154
MA,Olinda Nova do Maranhão,5,14,104,90
MA,Paço do Lumiar,221,242,2076,3940
MA,Palmeirândia,8,24,87,99
MA,Paraibano,12,54,288,160
MA,Parnarama,34,39,269,304
MA,Passagem Franca,10,37,249,123
MA,Pastos Bons,18,50,316,213
MA,Paulino Neves,24,17,126,153
MA,Paulo Ramos,7,37,244,137
MA,Pedreiras,85,264,1026,733
MA,Pedro do Rosário,7,16,98,110
MA,Penalva,15,22,234,211
MA,Peri Mirim,8,8,85,71
MA,Peritoró,20,44,189,137
MA,Pindaré-Mirim,28,36,269,367
MA,Pinheiro,133,234,1367,1242
MA,Pio XII,16,26,276,188
MA,Pirapemas,6,16,102,127
MA,Poção de Pedras,8,25,128,181
MA,Porto Franco,66,73,658,577
MA,Porto Rico do Maranhão,3,1,44,58
MA,Presidente Dutra,145,203,1374,877
MA,Presidente Juscelino,8,18,74,70
MA,Presidente Médici,4,10,69,50
MA,Presidente Sarney,4,6,102,190
MA,Presidente Vargas,3,4,57,73
MA,Primeira Cruz,7,4,46,58
MA,Raposa,47,83,428,633
MA,Riachão,39,72,372,344
MA,Ribamar Fiquene,8,18,74,76
MA,Rosário,53,55,537,501
MA,Sambaíba,9,16,54,48
MA,Santa Filomena do Maranhão,2,14,32,45
MA,Santa Helena,24,107,353,289
MA,Santa Inês,241,289,2159,1953
MA,Santa Luzia,82,103,1108,444
MA,Santa Luzia do Paruá,28,29,380,269
MA,Santa Quitéria do Maranhão,16,25,216,170
MA,Santa Rita,30,40,464,486
MA,Santana do Maranhão,3,7,63,60
MA,Santo Amaro do Maranhão,19,21,192,266
MA,Santo Antônio dos Lopes,46,37,232,144
MA,São Benedito do Rio Preto,12,32,140,116
MA,São Bento,41,35,412,358
MA,São Bernardo,19,25,481,230
MA,São Domingos do Azeitão,8,22,149,141
MA,São Domingos do Maranhão,27,51,537,370
MA,São Félix de Balsas,9,15,43,32
MA,São Francisco do Brejão,11,10,93,130
MA,São Francisco do Maranhão,7,11,71,118
MA,São João Batista,13,12,109,76
MA,São João do Carú,3,7,114,114
MA,São João do Paraíso,12,17,175,149
MA,São João do Soter,4,10,90,134
MA,São João dos Patos,47,77,597,346
MA,São José de Ribamar,453,504,3516,6957
MA,São José dos Basílios,2,15,55,29
MA,São Luís,6554,5848,39981,43574
MA,São Luís Gonzaga do Maranhão,6,11,118,133
MA,São Mateus do Maranhão,43,69,556,481
MA,São Pedro da Água Branca,11,34,133,226
MA,São Pedro dos Crentes,4,59,47,64
MA,São Raimundo das Mangabeiras,32,65,353,280
MA,São Raimundo do Doca Bezerra,1,7,42,23
MA,São Roberto,2,6,26,33
MA,São Vicente Ferrer,12,20,165,133
MA,Satubinha,3,7,57,64
MA,Senador Alexandre Costa,7,16,80,72
MA,Senador La Rocque,8,27,171,188
MA,Serrano do Maranhão,2,2,36,45
MA,Sítio Novo,21,21,211,158
MA,Sucupira do Norte,13,45,101,100
MA,Sucupira do Riachão,0,3,30,37
MA,Tasso Fragoso,43,39,149,158
MA,Timbiras,17,25,220,196
MA,Timon,385,464,2584,4390
MA,Trizidela do Vale,18,114,377,299
MA,Tufilândia,1,5,35,43
MA,Tuntum,24,52,351,305
MA,Turiaçu,22,26,248,250
MA,Turilândia,8,31,105,144
MA,Tutóia,51,78,690,557
MA,Urbano Santos,22,50,271,257
MA,Vargem Grande,42,66,440,370
MA,Viana,43,89,606,462
MA,Vila Nova dos Martírios,17,14,92,157
MA,Vitória do Mearim,25,79,372,391
MA,Vitorino Freire,18,40,453,317
MA,Zé Doca,46,81,626,377
PB,Totais,12630,12792,86997,160785
PB,Água Branca,3,8,90,248
PB,Aguiar,3,3,59,122
PB,Alagoa Grande,40,32,270,685
PB,Alagoa Nova,6,13,171,615
PB,Alagoinha,9,9,138,442
PB,Alcantil,4,4,52,150
PB,Algodão de Jandaíra,2,0,17,79
PB,Alhandra,112,169,295,588
PB,Amparo,2,2,14,37
PB,Aparecida,11,8,83,210
PB,Araçagi,7,16,186,385
PB,Arara,4,12,127,283
PB,Araruna,9,22,246,429
PB,Areia,15,38,317,633
PB,Areia de Baraúnas,2,5,8,23
PB,Areial,2,5,81,267
PB,Aroeiras,5,15,128,285
PB,Assunção,1,8,56,89
PB,Baía da Traição,1,8,92,171
PB,Bananeiras,28,27,330,589
PB,Baraúna,8,4,49,146
PB,Barra de Santa Rosa,13,22,139,344
PB,Barra de Santana,2,6,30,133
PB,Barra de São Miguel,5,3,40,79
PB,Bayeux,285,134,1336,4162
PB,Belém,15,13,243,803
PB,Belém do Brejo do Cruz,8,12,68,108
PB,Bernardino Batista,0,4,28,34
PB,Boa Ventura,5,1,54,91
PB,Boa Vista,18,10,93,314
PB,Bom Jesus,1,9,24,46
PB,Bom Sucesso,4,6,43,67
PB,Bonito de Santa Fé,8,6,112,191
PB,Boqueirão,23,20,279,505
PB,Borborema,1,6,46,137
PB,Brejo do Cruz,18,65,179,363
PB,Brejo dos Santos,7,10,77,101
PB,Caaporã,65,37,267,437
PB,Cabaceiras,9,3,73,273
PB,Cabedelo,543,459,1634,3332
PB,Cachoeira dos índios,6,4,111,149
PB,Cacimba de Areia,1,4,25,58
PB,Cacimba de Dentro,8,20,146,334
PB,Cacimbas,14,11,42,124
PB,Caiçara,6,8,56,142
PB,Cajazeiras,182,179,1838,2317
PB,Cajazeirinhas,1,4,21,33
PB,Caldas Brandão,7,1,59,121
PB,Camalaú,5,3,76,127
PB,Campina Grande,2123,2043,12770,22967
PB,Campo de Santana,8,3,59,145
PB,Capim,4,9,64,129
PB,Caraúbas,1,5,38,88
PB,Carrapateira,1,2,11,48
PB,Casserengue,4,5,62,105
PB,Catingueira,2,9,46,73
PB,Catolé do Rocha,85,137,726,916
PB,Caturité,5,5,48,124
PB,Conceição,22,20,356,329
PB,Condado,4,10,68,156
PB,Conde,164,100,566,954
PB,Congo,2,6,83,140
PB,Coremas,26,35,349,357
PB,Coxixola,2,1,25,51
PB,Cruz do Espírito Santo,17,21,131,334
PB,Cubati,4,6,75,175
PB,Cuité,28,36,314,747
PB,Cuité de Mamanguape,3,4,44,191
PB,Cuitegi,2,4,55,188
PB,Curral de Cima,2,4,29,47
PB,Curral Velho,1,0,18,30
PB,Damião,0,6,50,132
PB,Desterro,6,9,112,225
PB,Diamante,4,7,76,98
PB,Dona Inês,4,4,81,410
PB,Duas Estradas,1,1,53,147
PB,Emas,1,2,34,104
PB,Esperança,71,67,1064,1457
PB,Fagundes,3,4,86,236
PB,Frei Martinho,1,4,35,159
PB,Gado Bravo,1,3,41,73
PB,Guarabira,189,154,1695,2616
PB,Gurinhém,13,11,130,269
PB,Gurjão,0,2,40,121
PB,Ibiara,1,5,76,109
PB,Igaracy,1,4,58,124
PB,Imaculada,4,9,76,91
PB,Ingá,24,23,198,465
PB,Itabaiana,53,42,405,849
PB,Itaporanga,37,44,543,765
PB,Itapororoca,15,24,189,575
PB,Itatuba,6,11,57,193
PB,Jacaraú,11,14,223,443
PB,Jericó,10,12,110,135
PB,João Pessoa,5771,5578,32324,54551
PB,Juarez Távora,2,3,87,154
PB,Juazeirinho,41,18,215,466
PB,Junco do Seridó,24,17,105,290
PB,Juripiranga,15,10,145,326
PB,Juru,6,26,101,183
PB,Lagoa,0,6,48,67
PB,Lagoa de Dentro,2,7,74,229
PB,Lagoa Seca,24,19,323,767
PB,Lastro,0,3,22,22
PB,Livramento,5,3,78,109
PB,Logradouro,0,5,33,76
PB,Lucena,27,19,191,540
PB,Mãe d´Água,1,2,16,43
PB,Malta,3,2,76,214
PB,Mamanguape,83,97,828,1751
PB,Manaíra,5,12,85,194
PB,Marcação,3,2,61,116
PB,Mari,16,16,228,709
PB,Marizópolis,3,10,93,133
PB,Massaranduba,9,11,98,336
PB,Mataraca,20,16,115,248
PB,Matinhas,1,1,16,71
PB,Mato Grosso,2,3,28,32
PB,Maturéia,2,8,64,173
PB,Mogeiro,7,15,115,213
PB,Montadas,5,3,50,147
PB,Monte Horebe,0,3,47,111
PB,Monteiro,63,52,648,1079
PB,Mulungu,1,7,67,198
PB,Natuba,5,6,40,77
PB,Nazarezinho,3,5,62,128
PB,Nova Floresta,4,17,159,318
PB,Nova Olinda,4,5,45,97
PB,Nova Palmeira,17,13,52,177
PB,Olho d´Água,1,1,47,95
PB,Olivedos,1,5,28,111
PB,Ouro Velho,1,4,27,72
PB,Parari,0,0,15,23
PB,Passagem,0,15,26,40
PB,Patos,361,566,2920,5669
PB,Paulista,5,16,183,250
PB,Pedra Branca,2,4,38,54
PB,Pedra Lavrada,27,16,71,191
PB,Pedras de Fogo,43,43,525,592
PB,Pedro Régis,5,1,32,117
PB,Piancó,25,14,308,352
PB,Picuí,66,43,291,739
PB,Pilar,6,7,119,307
PB,Pilões,6,10,76,137
PB,Pilõezinhos,0,2,32,101
PB,Pirpirituba,6,10,136,335
PB,Pitimbu,36,15,205,368
PB,Pocinhos,33,21,150,447
PB,Poço Dantas,0,12,25,46
PB,Poço de José de Moura,3,0,42,108
PB,Pombal,44,104,725,1065
PB,Prata,3,8,56,136
PB,Princesa Isabel,34,65,371,692
PB,Puxinanã,11,16,157,291
PB,Queimadas,84,69,648,1669
PB,Quixaba,1,6,27,25
PB,Remígio,17,19,298,646
PB,Riachão,2,1,22,73
PB,Riachão do Bacamarte,3,4,32,96
PB,Riachão do Poço,4,5,28,83
PB,Riacho de Santo Antônio,0,2,26,46
PB,Riacho dos Cavalos,5,15,119,188
PB,Rio Tinto,34,27,371,613
PB,Salgadinho,5,1,22,36
PB,Salgado de São Félix,5,8,65,242
PB,Santa Cecília,5,5,85,114
PB,Santa Cruz,3,5,88,126
PB,Santa Helena,3,2,52,107
PB,Santa Inês,0,1,26,52
PB,Santa Luzia,97,30,266,688
PB,Santa Rita,256,184,2084,5600
PB,Santa Teresinha,4,8,35,82
PB,Santana de Mangueira,2,2,32,42
PB,Santana dos Garrotes,2,4,60,126
PB,Santarém,0,1,14,53
PB,Santo André,0,1,24,54
PB,São Bentinho,2,18,46,65
PB,São Bento,102,173,842,1168
PB,São Domingos de Pombal,1,3,13,27
PB,São Domingos do Cariri,0,4,22,110
PB,São Francisco,1,4,33,68
PB,São João do Cariri,17,5,53,125
PB,São João do Rio do Peixe,22,23,256,323
PB,São João do Tigre,0,1,22,36
PB,São José da Lagoa Tapada,6,18,85,128
PB,São José de Caiana,3,0,42,80
PB,São José de Espinharas,5,3,18,41
PB,São José de Piranhas,11,24,225,494
PB,São José de Princesa,0,3,14,27
PB,São José do Bonfim,1,4,23,54
PB,São José do Brejo do Cruz,0,1,13,129
PB,São José do Sabugi,14,4,57,244
PB,São José dos Cordeiros,0,1,31,52
PB,São José dos Ramos,2,2,30,91
PB,São Mamede,20,11,159,272
PB,São Miguel de Taipu,4,11,45,165
PB,São Sebastião de Lagoa de Roça,10,10,104,335
PB,São Sebastião do Umbuzeiro,3,1,38,67
PB,Sapé,74,63,627,1358
PB,Seridó,6,3,82,194
PB,Serra Branca,10,17,224,350
PB,Serra da Raiz,1,2,24,83
PB,Serra Grande,2,3,31,43
PB,Serra Redonda,4,4,55,164
PB,Serraria,0,2,40,113
PB,Sertãozinho,1,5,49,173
PB,Sobrado,10,5,76,155
PB,Solânea,58,32,632,1271
PB,Soledade,22,45,238,638
PB,Sossêgo,0,2,27,71
PB,Sousa,204,304,2124,2060
PB,Sumé,28,33,374,684
PB,Taperoá,11,11,149,403
PB,Tavares,8,19,127,352
PB,Teixeira,17,31,189,362
PB,Tenório,3,11,33,59
PB,Triunfo,2,6,110,176
PB,Uiraúna,13,34,307,600
PB,Umbuzeiro,2,6,71,161
PB,Várzea,3,9,50,67
PB,Vieirópolis,1,5,38,55
PB,Vista Serrana,1,2,37,112
PB,Zabelê,0,1,27,45
PE,Totais,40864,34428,178546,338991
PE,Abreu e Lima,263,178,1275,3679
PE,Afogados da Ingazeira,83,166,692,1806
PE,Afrânio,19,28,200,302
PE,Agrestina,53,31,276,471
PE,Água Preta,39,15,180,381
PE,Águas Belas,37,34,344,383
PE,Alagoinha,9,3,116,257
PE,Aliança,73,32,544,602
PE,Altinho,742,20,174,327
PE,Amaraji,32,16,205,378
PE,Angelim,6,10,72,112
PE,Araçoiaba,12,28,146,331
PE,Araripina,170,209,1676,1914
PE,Arcoverde,213,223,1664,3507
PE,Barra de Guabiraba,6,9,121,279
PE,Barreiros,77,43,691,1102
PE,Belém de Maria,6,2,69,103
PE,Belém de São Francisco,29,41,193,292
PE,Belo Jardim,199,153,1266,2319
PE,Betânia,9,11,68,107
PE,Bezerros,148,141,1136,1627
PE,Bodocó,20,39,281,450
PE,Bom Conselho,56,82,440,512
PE,Bom Jardim,21,67,369,431
PE,Bonito,76,48,505,1173
PE,Brejão,11,17,96,97
PE,Brejinho,4,10,86,158
PE,Brejo da Madre de Deus,57,83,468,996
PE,Buenos Aires,6,7,93,134
PE,Buíque,38,45,365,460
PE,Cabo de Santo Agostinho,1250,628,3206,7390
PE,Cabrobó,48,65,388,725
PE,Cachoeirinha,16,17,260,299
PE,Caetés,17,26,192,187
PE,Calçado,6,9,57,64
PE,Calumbi,1,12,29,88
PE,Camaragibe,268,357,2506,7675
PE,Camocim de São Félix,23,17,216,257
PE,Camutanga,14,5,85,148
PE,Canhotinho,26,17,182,484
PE,Capoeiras,8,22,130,130
PE,Carnaíba,28,37,143,500
PE,Carnaubeira da Penha,5,9,32,46
PE,Carpina,266,231,2180,2665
PE,Caruaru,3396,2076,11185,21121
PE,Casinhas,3,8,51,80
PE,Catende,40,23,325,642
PE,Cedro,10,24,105,174
PE,Chã de Alegria,20,12,116,262
PE,Chã Grande,37,40,279,448
PE,Condado,28,24,288,546
PE,Correntes,16,8,99,118
PE,Cortês,12,8,96,267
PE,Cumaru,6,7,113,156
PE,Cupira,38,67,498,802
PE,Custódia,40,92,482,764
PE,Dormentes,15,38,241,196
PE,Escada,149,108,854,1615
PE,Exu,28,49,334,516
PE,Feira Nova,29,31,312,462
PE,Fernando de Noronha,76,58,565,293
PE,Ferreiros,17,16,128,202
PE,Flores,36,48,178,276
PE,Floresta,65,47,319,482
PE,Frei Miguelinho,3,12,143,143
PE,Gameleira,12,12,183,408
PE,Garanhuns,545,535,3295,4962
PE,Glória do Goitá,35,52,303,726
PE,Goiana,372,171,1708,2253
PE,Granito,7,6,67,361
PE,Gravatá,270,214,1789,3212
PE,Iati,13,33,135,124
PE,Ibimirim,45,40,240,309
PE,Ibirajuba,1,2,45,69
PE,Igarassu,373,291,1954,4223
PE,Iguaraci,10,13,82,184
PE,Ilha de Itamaracá,30,32,315,742
PE,Inajá,17,23,149,225
PE,Ingazeira,3,9,26,75
PE,Ipojuca,567,352,2191,4028
PE,Ipubi,35,44,428,460
PE,Itacuruba,6,5,32,28
PE,Itaíba,24,26,192,354
PE,Itambé,50,60,649,646
PE,Itapetim,10,22,168,316
PE,Itapissuma,44,36,260,546
PE,Itaquitinga,14,12,97,280
PE,Jaboatão dos Guararapes,2435,1884,11289,32859
PE,Jaqueira,7,9,73,127
PE,Jataúba,11,15,167,172
PE,Jatobá,17,10,135,240
PE,João Alfredo,16,42,334,429
PE,Joaquim Nabuco,16,19,82,188
PE,Jucati,3,9,72,105
PE,Jupi,11,18,161,199
PE,Jurema,11,14,80,154
PE,Lagoa do Carro,17,29,203,410
PE,Lagoa do Itaenga,20,19,247,459
PE,Lagoa do Ouro,8,10,79,76
PE,Lagoa dos Gatos,3,7,110,166
PE,Lagoa Grande,50,38,313,373
PE,Lajedo,79,53,778,944
PE,Limoeiro,589,118,1431,2029
PE,Macaparana,24,37,265,605
PE,Machados,8,6,158,175
PE,Manari,2,10,95,110
PE,Maraial,9,6,66,138
PE,Mirandiba,19,27,127,186
PE,Moreilândia,6,10,86,127
PE,Moreno,163,156,1087,1866
PE,Nazaré da Mata,54,42,479,815
PE,Olinda,1362,1689,8330,19551
PE,Orobó,14,42,249,308
PE,Orocó,20,10,85,125
PE,Ouricuri,94,135,784,1088
PE,Palmares,160,159,1220,1697
PE,Palmeirina,1,5,45,54
PE,Panelas,11,12,237,357
PE,Paranatama,28,11,107,107
PE,Parnamirim,29,28,147,296
PE,Passira,27,40,247,341
PE,Paudalho,78,141,643,1393
PE,Paulista,832,867,5415,17565
PE,Pedra,21,21,142,246
PE,Pesqueira,128,86,891,1308
PE,Petrolândia,76,55,516,803
PE,Petrolina,1862,2022,10506,18701
PE,Poção,7,6,95,125
PE,Pombos,68,46,372,569
PE,Primavera,9,10,120,266
PE,Quipapá,6,15,158,279
PE,Quixabá,3,8,58,102
PE,Recife,18310,14190,52834,90213
PE,Riacho das Almas,53,22,241,568
PE,Ribeirão,72,69,540,949
PE,Rio Formoso,50,24,168,547
PE,Sairé,17,21,137,225
PE,Salgadinho,4,5,34,53
PE,Salgueiro,228,231,1067,2440
PE,Saloá,8,12,114,132
PE,Sanharó,13,34,198,608
PE,Santa Cruz,9,13,90,172
PE,Santa Cruz da Baixa Verde,6,25,118,355
PE,Santa Cruz do Capibaribe,362,877,2762,4029
PE,Santa Filomena,6,15,69,89
PE,Santa Maria da Boa Vista,48,44,317,474
PE,Santa Maria do Cambucá,9,16,125,122
PE,Santa Terezinha,8,20,101,157
PE,São Benedito do Sul,4,1,59,112
PE,São Bento do Una,62,77,485,643
PE,São Caitano,49,46,353,931
PE,São João,16,25,147,267
PE,São Joaquim do Monte,13,6,136,253
PE,São José da Coroa Grande,32,35,393,587
PE,São José do Belmonte,68,85,334,772
PE,São José do Egito,67,101,543,1045
PE,São Lourenço da Mata,189,208,1549,4488
PE,São Vicente Ferrer,17,17,180,288
PE,Serra Talhada,303,482,1656,4068
PE,Serrita,11,29,92,210
PE,Sertânia,35,45,424,658
PE,Sirinhaém,42,40,354,771
PE,Solidão,0,4,26,76
PE,Surubim,137,201,1404,1625
PE,Tabira,38,77,348,853
PE,Tacaimbó,17,23,85,117
PE,Tacaratu,25,18,162,275
PE,Tamandaré,83,100,589,1049
PE,Taquaritinga do Norte,46,133,367,555
PE,Terezinha,2,5,50,60
PE,Terra Nova,15,13,51,163
PE,Timbaúba,170,186,983,1160
PE,Toritama,148,264,1298,1140
PE,Tracunhaém,5,11,119,256
PE,Trindade,72,74,631,847
PE,Triunfo,33,39,188,858
PE,Tupanatinga,6,19,108,195
PE,Tuparetama,7,17,102,214
PE,Venturosa,27,29,211,302
PE,Verdejante,10,13,51,168
PE,Vertente do Lério,6,6,44,67
PE,Vertentes,25,37,268,217
PE,Vicência,27,15,319,555
PE,Vitória de Santo Antão,398,294,2704,4157
PE,Xexéu,5,10,98,179
PI,Totais,10956,10915,75745,89167
PI,Acauã,3,8,48,136
PI,Agricolândia,1,7,73,85
PI,Água Branca,53,55,574,644
PI,Alagoinha do Piauí,4,6,72,58
PI,Alegrete do Piauí,7,3,72,74
PI,Alto Longá,6,26,180,199
PI,Altos,95,117,756,1163
PI,Alvorada do Gurguéia,16,13,69,93
PI,Amarante,18,29,249,285
PI,Angical do Piauí,4,20,121,136
PI,Anísio de Abreu,7,23,241,97
PI,Antônio Almeida,9,15,61,55
PI,Aroazes,7,14,53,143
PI,Aroeiras do Itaim,0,4,15,17
PI,Arraial,3,8,51,92
PI,Assunção do Piauí,3,4,60,89
PI,Avelino Lopes,14,13,172,113
PI,Baixa Grande do Ribeiro,69,72,541,313
PI,Barra d´Alcântara,2,2,46,64
PI,Barras,48,109,584,1171
PI,Barreiras do Piauí,8,6,40,33
PI,Barro Duro,11,12,94,88
PI,Batalha,18,31,275,429
PI,Bela Vista do Piauí,0,3,65,71
PI,Belém do Piauí,5,3,58,59
PI,Beneditinos,7,16,110,154
PI,Bertolínia,11,17,91,113
PI,Betânia do Piauí,8,10,57,49
PI,Boa Hora,4,9,64,86
PI,Bocaina,4,3,34,48
PI,Bom Jesus,211,280,1273,815
PI,Bom Princípio do Piauí,4,6,38,57
PI,Bonfim do Piauí,3,7,52,35
PI,Boqueirão do Piauí,2,2,65,132
PI,Brasileira,14,6,87,179
PI,Brejo do Piauí,1,7,38,20
PI,Buriti dos Lopes,22,30,201,295
PI,Buriti dos Montes,7,9,64,131
PI,Cabeceiras do Piauí,6,16,68,99
PI,Cajazeiras do Piauí,0,2,37,49
PI,Cajueiro da Praia,32,30,265,320
PI,Caldeirão Grande do Piauí,19,6,56,41
PI,Campinas do Piauí,1,8,41,43
PI,Campo Alegre do Fidalgo,5,8,62,49
PI,Campo Grande do Piauí,9,4,89,85
PI,Campo Largo do Piauí,1,2,67,53
PI,Campo Maior,141,92,1080,1772
PI,Canavieira,1,7,27,28
PI,Canto do Buriti,60,49,541,328
PI,Capitão de Campos,12,19,123,194
PI,Capitão Gervásio Oliveira,4,11,44,57
PI,Caracol,10,11,172,119
PI,Caraúbas do Piauí,1,4,46,131
PI,Caridade do Piauí,4,7,55,112
PI,Castelo do Piauí,20,36,412,460
PI,Caxingó,4,6,36,95
PI,Cocal,28,38,370,494
PI,Cocal de Telha,0,10,39,80
PI,Cocal dos Alves,2,6,78,103
PI,Coivaras,1,10,30,43
PI,Colônia do Gurguéia,13,20,103,152
PI,Colônia do Piauí,0,8,51,99
PI,Conceição do Canindé,2,10,59,75
PI,Coronel José Dias,4,7,42,51
PI,Corrente,91,125,715,704
PI,Cristalândia do Piauí,2,13,69,76
PI,Cristino Castro,35,39,222,197
PI,Curimatá,32,54,271,229
PI,Currais,6,3,52,49
PI,Curral Novo do Piauí,29,10,28,51
PI,Curralinhos,0,6,35,62
PI,Demerval Lobão,26,35,278,406
PI,Dirceu Arcoverde,3,10,87,52
PI,Dom Expedito Lopes,14,20,107,146
PI,Dom Inocêncio,39,6,126,105
PI,Domingos Mourão,0,3,33,53
PI,Elesbão Veloso,18,55,186,242
PI,Eliseu Martins,18,10,111,97
PI,Esperantina,55,96,812,896
PI,Fartura do Piauí,1,6,41,43
PI,Flores do Piauí,4,9,51,54
PI,Floresta do Piauí,0,3,26,51
PI,Floriano,303,379,2258,2369
PI,Francinópolis,2,11,36,67
PI,Francisco Ayres,3,8,32,56
PI,Francisco Macedo,3,3,34,48
PI,Francisco Santos,5,16,98,57
PI,Fronteiras,20,18,215,159
PI,Geminiano,7,10,50,67
PI,Gilbués,30,48,273,156
PI,Guadalupe,27,22,260,296
PI,Guaribas,0,4,83,43
PI,Hugo Napoleão,0,4,34,45
PI,Ilha Grande,18,8,92,140
PI,Inhuma,15,15,231,179
PI,Ipiranga do Piauí,7,7,116,146
PI,Isaías Coelho,4,7,62,47
PI,Itainópolis,10,9,113,151
PI,Itaueira,18,19,271,147
PI,Jacobina do Piauí,5,19,69,50
PI,Jaicós,26,37,307,315
PI,Jardim do Mulato,1,2,35,33
PI,Jatobá do Piauí,0,4,29,67
PI,Jerumenha,11,12,68,70
PI,João Costa,3,4,20,30
PI,Joaquim Pires,7,8,145,158
PI,Joca Marques,2,1,34,45
PI,José de Freitas,35,82,628,1243
PI,Juazeiro do Piauí,3,7,66,250
PI,Júlio Borges,7,10,53,50
PI,Jurema,1,7,46,33
PI,Lagoa Alegre,5,6,105,104
PI,Lagoa de São Francisco,3,1,42,125
PI,Lagoa do Barro do Piauí,33,10,67,71
PI,Lagoa do Piauí,14,6,58,76
PI,Lagoa do Sítio,0,3,30,26
PI,Lagoinha do Piauí,2,1,25,33
PI,Landri Sales,7,14,87,87
PI,Luís Correia,84,39,470,425
PI,Luzilândia,21,39,432,380
PI,Madeiro,1,2,55,53
PI,Manoel Emídio,13,15,87,92
PI,Marcolândia,21,12,187,265
PI,Marcos Parente,7,11,67,62
PI,Massapê do Piauí,0,1,26,43
PI,Matias Olímpio,8,16,147,124
PI,Miguel Alves,15,26,288,295
PI,Miguel Leão,3,11,14,11
PI,Milton Brandão,0,3,35,73
