,UF,MUNICIPIO_DESCRICAO,Demais,EPP,ME,MEI
214,BA,Cotegipe,24,13,182,140
215,BA,Cravolândia,2,5,50,130
216,BA,Crisópolis,13,27,204,231
217,BA,Cristópolis,20,19,163,192
218,BA,Cruz das Almas,202,278,1860,3248
219,BA,Curaçá,40,107,415,455
220,BA,Dário Meira,8,11,115,210
221,BA,Dias d´Ávila,244,190,1919,3014
222,BA,Dom Basílio,8,26,203,270
223,BA,Dom Macedo Costa,2,6,57,119
224,BA,Elísio Medrado,10,6,114,152
225,BA,Encruzilhada,32,30,240,370
226,BA,Entre Rios,115,55,996,1563
227,BA,Érico Cardoso,9,4,96,148
228,BA,Esplanada,86,43,594,819
229,BA,Euclides da Cunha,78,230,1031,1081
230,BA,Eunápolis,504,422,4068,5073
231,BA,Fátima,12,33,200,277
232,BA,Feira da Mata,4,2,71,65
233,BA,Feira de Santana,3482,3132,23706,36151
234,BA,Filadélfia,9,37,385,297
235,BA,Firmino Alves,7,5,77,98
236,BA,Floresta Azul,14,7,109,220
237,BA,Formosa do Rio Preto,132,43,627,525
238,BA,Gandu,77,64,949,1046
239,BA,Gavião,2,6,45,68
240,BA,Gentio do Ouro,71,9,123,160
241,BA,Glória,19,17,127,164
242,BA,Gongogi,4,5,67,142
243,BA,Governador Mangabeira,35,43,405,837
244,BA,Guajeru,3,6,78,85
245,BA,Guanambi,475,496,3511,4215
246,BA,Guaratinga,30,22,207,373
247,BA,Heliópolis,10,26,141,167
248,BA,Iaçu,35,35,407,596
249,BA,Ibiassucê,14,23,231,191
250,BA,Ibicaraí,32,34,555,692
